Hour,Temperature/K
6735.0,299.90999999999997
6736.0,299.90999999999997
6737.0,299.90999999999997
6738.0,299.90999999999997
6739.0,299.90999999999997
6740.0,299.90999999999997
6741.0,299.90999999999997
6742.0,299.90999999999997
6743.0,299.90999999999997
6744.0,300.53999999999996
6745.0,300.53999999999996
6746.0,300.53999999999996
6747.0,300.53999999999996
6748.0,300.53999999999996
6749.0,300.53999999999996
6750.0,300.53999999999996
6751.0,300.53999999999996
6752.0,300.53999999999996
6753.0,300.53999999999996
6754.0,300.53999999999996
6755.0,300.53999999999996
6756.0,300.53999999999996
6757.0,300.53999999999996
6758.0,300.53999999999996
6759.0,300.53999999999996
6760.0,300.53999999999996
6761.0,300.53999999999996
6762.0,300.53999999999996
6763.0,300.53999999999996
6764.0,300.53999999999996
6765.0,300.53999999999996
6766.0,300.53999999999996
6767.0,300.53999999999996
6768.0,300.88
6769.0,300.88
6770.0,300.88
6771.0,300.88
6772.0,300.88
6773.0,300.88
6774.0,300.88
6775.0,300.88
6776.0,300.88
6777.0,300.88
6778.0,300.88
6779.0,300.88
6780.0,300.88
6781.0,300.88
6782.0,300.88
6783.0,300.88
6784.0,300.88
6785.0,300.88
6786.0,300.88
6787.0,300.88
6788.0,300.88
6789.0,300.88
6790.0,300.88
6791.0,300.88
6792.0,300.5
6793.0,300.5
6794.0,300.5
6795.0,300.5
6796.0,300.5
6797.0,300.5
6798.0,300.5
6799.0,300.5
6800.0,300.5
6801.0,300.5
6802.0,300.5
6803.0,300.5
6804.0,300.5
6805.0,300.5
6806.0,300.5
6807.0,300.5
6808.0,300.5
6809.0,300.5
6810.0,300.5
6811.0,300.5
6812.0,300.5
6813.0,300.5
6814.0,300.5
6815.0,300.5
6816.0,299.71
6817.0,299.71
6818.0,299.71
6819.0,299.71
6820.0,299.71
6821.0,299.71
6822.0,299.71
6823.0,299.71
6824.0,299.71
6825.0,299.71
6826.0,299.71
6827.0,299.71
6828.0,299.71
6829.0,299.71
6830.0,299.71
6831.0,299.71
6832.0,299.71
6833.0,299.71
6834.0,299.71
6835.0,299.71
6836.0,299.71
6837.0,299.71
6838.0,299.71
6839.0,299.71
6840.0,299.7
6841.0,299.7
6842.0,299.7
6843.0,299.7
6844.0,299.7
6845.0,299.7
6846.0,299.7
6847.0,299.7
6848.0,299.7
6849.0,299.7
6850.0,299.7
6851.0,299.7
6852.0,299.7
6853.0,299.7
6854.0,299.7
6855.0,299.7
6856.0,299.7
6857.0,299.7
6858.0,299.7
6859.0,299.7
6860.0,299.7
6861.0,299.7
6862.0,299.7
6863.0,299.7
6864.0,300.51
6865.0,300.51
6866.0,300.51
6867.0,300.51
6868.0,300.51
6869.0,300.51
6870.0,300.51
6871.0,300.51
